縣市,有效票數,無效票數,投票數,已領未投票數,選舉人數,1號得票數,2號得票數,3號得票數
基隆市,216389,1414,217803,3,302139,79562,128294,8533
臺北市,1604730,9669,1614399,58,2102664,634565,928717,41448
新北市,2318493,15215,2333708,58,3074849,1007551,1245673,65269
桃園縣,1117386,7610,1124996,12,1506311,445308,639151,32927
新竹市,234576,1628,236204,7,312118,92632,134728,7216
新竹縣,290137,2176,292313,2,384261,89741,190797,9599
苗栗縣,322961,2600,325561,6,436219,107164,206200,9597
臺中市,1519100,9953,1529053,23,2018158,678736,792334,48030
彰化縣,731440,7367,738807,6,1005714,340069,369968,21403
南投縣,290506,2165,292671,9,411482,123077,158703,8726
雲林縣,383694,4348,388042,4,563034,214141,159891,9662
嘉義市,150288,973,151261,0,205711,76711,69535,4042
嘉義縣,309773,3052,312825,6,431588,181463,120946,7364
臺南市,1093572,8090,1101662,19,1485047,631232,435274,27066
高雄市,1653088,10944,1664032,19,2192005,883158,730461,39469
屏東縣,492855,4571,497426,9,684517,271722,211571,9562
宜蘭縣,257304,2437,259741,3,358059,135156,115496,6652
花蓮縣,169019,1570,170589,1,263888,43845,118815,6359
臺東縣,109553,1019,110572,6,178938,33417,72823,3313
金門縣,38859,316,39175,0,83949,3193,34676,990
澎湖縣,45378,543,45921,0,77817,20717,22579,2082
連江縣,5204,51,5255,0,7987,418,4507,279
