縣市,有效票數,無效票數,投票數,已領未投票數,選舉人數,1號得票數,2號得票數
基隆市,222565,4996,227561,16,290439,90276,132289
臺北市,1588249,30789,1619038,91,1981562,690379,897870
臺北縣,2132203,52964,2185167,91,2687388,1000981,1131222
桃園縣,1004458,30838,1035296,72,1273026,448770,555688
新竹市,215742,5143,220885,5,271967,96818,118924
新竹縣,257603,6737,264340,19,323148,92576,165027
苗栗縣,314486,10868,325354,17,407634,123427,191059
臺中縣,850561,21270,871831,48,1070877,440479,410082
臺中市,564193,10566,574759,37,710555,267095,297098
彰化縣,733424,26288,759712,52,947526,383296,350128
南投縣,302396,8871,311267,19,399146,147833,154563
雲林縣,403035,16748,419783,24,552795,243129,159906
嘉義市,152878,2905,155783,8,193458,85702,67176
嘉義縣,317655,11554,329209,34,421904,199466,118189
臺南市,435183,8247,443430,12,547903,251397,183786
臺南縣,652363,19353,671716,30,827790,422569,229794
高雄市,899073,15012,914085,29,1117380,500304,398769
高雄縣,728202,21903,750105,61,919717,425265,302937
屏東縣,529191,13621,542812,69,687261,307209,221982
宜蘭縣,256209,8885,265094,23,337886,147848,108361
花蓮縣,180635,4542,185177,7,260826,53884,126751
臺東縣,117728,3224,120952,6,182033,40522,77206
金門縣,28134,1069,29203,0,45353,1701,26433
澎湖縣,44801,1213,46014,1,69545,22162,22639
連江縣,12402,335,12737,3,19681,772,11630
